"no","tahun","pemda","provinsi","wilayah","disclaimer","special_row","400_a","400_r","400_p","410_a","410_r","410_p","411_a","411_r","411_p","412_a","412_r","412_p","413_a","413_r","413_p","414_a","414_r","414_p","420_a","420_r","420_p","421_a","421_r","421_p","422_a","422_r","422_p","423_a","423_r","423_p","430_a","430_r","430_p","431_a","431_r","431_p","432_a","432_r","432_p","433_a","433_r","433_p","434_a","434_r","434_p","435_a","435_r","435_p","436_a","436_r","436_p","439_a","439_r","439_p","500_a","500_r","500_p","510_a","510_r","510_p","511_a","511_r","511_p","512_a","512_r","512_p","513_a","513_r","513_p","514_a","514_r","514_p","515_a","515_r","515_p","516_a","516_r","516_p","517_a","517_r","517_p","518_a","518_r","518_p","519_a","519_r","519_p","520_a","520_r","520_p","521_a","521_r","521_p","522_a","522_r","522_p","523_a","523_r","523_p","600_a","600_r","600_p","610_a","610_r","610_p","611_a","611_r","611_p","612_a","612_r","612_p","613_a","613_r","613_p","614_a","614_r","614_p","615_a","615_r","615_p","616_a","616_r","616_p","617_a","617_r","617_p","619_a","619_r","619_p","620_a","620_r","620_p","621_a","621_r","621_p","622_a","622_r","622_p","623_a","623_r","623_p","624_a","624_r","624_p","625_a","625_r","625_p","626_a","626_r","626_p","629_a","629_r","629_p"
"182","2019","00","10","Prov. Jawa Barat","Realisasi APBD 2019 (per 21 Oktober 2020)","False","34882308945575","36037894762461","103,31 %","19765448937775","21244266598018","107,48 %","18394357886000","19626352311765","106,70 %","47890192237","56222370756","117,40 %","366500271290","386442976038","105,44 %","956700588248","1175248939459","122,84 %","15052236213800","14715372046649","97,76 %","1388997919800","1483785231865","106,82 %","3212647404000","3212647404000","100,00 %","10450590890000","10018939410784","95,87 %","64623794000","78256117794","121,09 %","22044000000","35676323794","161,84 %","0","0","-","0","0","-","42579794000","42579794000","100,00 %","0","0","-","0","0","-","0","0","-","37055508945575","35833086126517","96,70 %","28148428550758","28068936833508","99,72 %","5322286211549","5574036178218","104,73 %","0","0","-","20000000000","19384264000","96,92 %","9213738682702","8802612033243","95,54 %","298152000000","277619075000","93,11 %","7470689320200","7901869013400","105,77 %","5798562336307","5493416269647","94,74 %","25000000000","0","0,00 %","0","0","-","8907080394817","7764149293009","87,17 %","330617892211","314718294553","95,19 %","5417384921089","4919083456095","90,80 %","3159077581517","2530347542361","80,10 %","2173200000000","3084492272379","141,93 %","2250000000000","3161292271179","140,50 %","2250000000000","3060677232835","136,03 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","100615038344","-","0","0","-","76800000000","76799998800","100,00 %","0","0","-","76800000000","76799998800","100,00 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-"
"183","2019","03","10","Kab. Bogor","Realisasi APBD 2019 (per 21 Oktober 2020)","False","6078635501000","8137989873806","133,88 %","2554365775000","3161165915498","123,76 %","1745119000000","2243429745163","128,55 %","159919751000","141468140179","88,46 %","50898770000","57537749304","113,04 %","598428254000","718730280852","120,10 %","2310532250000","3094445817299","133,93 %","282711451000","315087463197","111,45 %","2027820799000","2034853421000","100,35 %","0","744504933102","-","1213737476000","1882378141009","155,09 %","0","480151262252","-","0","0","-","700254624000","773953465729","110,52 %","0","513482851602","-","513482852000","114790561426","22,36 %","0","0","-","0","0","-","6401085697000","7771218179777","121,40 %","3110860842000","3541262768829","113,84 %","1959536844000","2253964864653","115,03 %","0","0","-","0","0","-","132650799000","240010963536","180,93 %","28918200000","18933500000","65,47 %","158774405000","165801722652","104,43 %","805980594000","852673765914","105,79 %","25000000000","9877952074","39,51 %","0","0","-","3290224855000","4229955410948","128,56 %","322960501000","429357951915","132,94 %","1766458445000","2232903738362","126,41 %","1200805909000","1567693720671","130,55 %","322450196000","738524105135","229,04 %","430290234000","846364143135","196,70 %","430290234000","846364143135","196,70 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","107840038000","107840038000","100,00 %","0","0","-","107840038000","107840038000","100,00 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-"
"184","2019","14","10","Kab. Sukabumi","Realisasi APBD 2019 (per 21 Oktober 2020)","False","3933099433970","4063103668997","103,31 %","556744295000","619788612706","111,32 %","219742600000","267563178178","121,76 %","33794666653","31584515373","93,46 %","9745000000","8484535608","87,07 %","293462028347","312156383547","106,37 %","2474705537000","2465721366986","99,64 %","214191005000","221260681814","103,30 %","1634056400000","1654343840000","101,24 %","626458132000","590116845172","94,20 %","901649601970","977593689305","108,42 %","288687613000","305129603965","105,70 %","0","0","-","234479941970","259577558059","110,70 %","374482047000","373623833288","99,77 %","0","39262557593","-","4000000000","0","0,00 %","0","136400","-","3990407424970","4081694736885","102,29 %","2209359745230","2139542303274","96,84 %","1464354353856","1404959221860","95,94 %","0","0","-","3000000000","0","0,00 %","91918500000","99028476706","107,74 %","24460000000","23040000000","94,19 %","38021890250","39117841128","102,88 %","577605001124","569031110080","98,52 %","10000000000","4365653500","43,66 %","0","0","-","1781047679740","1942152433611","109,05 %","168401492673","0","0,00 %","1067847749987","1338366994040","125,33 %","544798437080","603785439571","110,83 %","57307991000","217220035706","379,04 %","89807991000","250465420695","278,89 %","89807991000","250465420695","278,89 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","32500000000","33245384989","102,29 %","0","745384989","-","32500000000","32500000000","100,00 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-"
"185","2019","05","10","Kab. Cianjur","Realisasi APBD 2019 (per 21 Oktober 2020)","False","3514852164119","3995406433640","113,67 %","602556114389","628558761864","104,32 %","191363499633","195831346090","102,33 %","40038176982","34470835983","86,09 %","8684941248","9167729168","105,56 %","362469496526","389088850623","107,34 %","2288600101000","2261839365877","98,83 %","79404458000","70647888909","88,97 %","1609902173000","1627020432000","101,06 %","599293470000","564171044968","94,14 %","623695948730","1105008305899","177,17 %","0","284939800000","-","0","0","-","199961830730","238044199580","119,04 %","11071383000","423395943600","3.824,24 %","0","158628362719","-","412662735000","0","0,00 %","0","0","-","3553244894439","3935268663062","110,75 %","2185756327844","2094980890110","95,85 %","1427283215288","1361467046620","95,39 %","0","0","-","0","0","-","55385100000","70743361454","127,73 %","0","2436500000","-","8932754000","4463423200","49,97 %","689211270500","651139080336","94,48 %","4943988056","4731478500","95,70 %","0","0","-","1367488566595","1840287772952","134,57 %","82168909678","123430547191","150,22 %","699941292683","1026203632190","146,61 %","585378364234","690653593571","117,98 %","38392730320","226971981455","591,18 %","45892730320","330684165110","720,56 %","45892730320","209495940880","456,49 %","0","0","-","0","0","-","0","121188224230","-","0","0","-","0","0","-","0","0","-","0","0","-","7500000000","103712183655","1.382,83 %","0","0","-","7500000000","5000000000","66,67 %","0","98712183655","-","0","0","-","0","0","-","0","0","-","0","0","-"
"186","2019","02","10","Kab. Bekasi","Realisasi APBD 2019 (per 21 Oktober 2020)","False","5442018154773","5672557868226","104,24 %","2186441686701","2439368558406","111,57 %","1675000000000","1974089302901","117,86 %","238556525000","142319843706","59,66 %","27013852547","18465103818","68,35 %","245871309154","304494307981","123,84 %","2030200295000","1892760003576","93,23 %","472227481000","336052192571","71,16 %","1218255504000","1219550987000","100,11 %","339717310000","337156824005","99,25 %","1225376173072","1340429306244","109,39 %","271585800000","277033120000","102,01 %","0","0","-","688554547072","738094679509","107,19 %","265235826000","265235826000","100,00 %","0","60065680735","-","0","0","-","0","0","-","5933744605773","5547599658387","93,49 %","2845678869119","2656131778802","93,34 %","2128428901400","1914808512754","89,96 %","0","0","-","0","0","-","27005000000","47256000000","174,99 %","5000000000","5000000000","100,00 %","191355653000","201639145800","105,37 %","487799182500","486740884375","99,78 %","6090132219","687235873","11,28 %","0","0","-","3088065736654","2891467879585","93,63 %","229740000","185130000","80,58 %","2086884749049","1936381942713","92,79 %","1000951247605","954900806872","95,40 %","491726451000","1029219164179","209,31 %","578274744500","1029219164179","177,98 %","578274744500","1029219164179","177,98 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","86548293500","0","0,00 %","0","0","-","86548293500","0","0,00 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-"
"187","2019","09","10","Kab. Karawang","Realisasi APBD 2019 (per 21 Oktober 2020)","False","4646965354749","4678932470058","100,69 %","1414407023227","1356319882910","95,89 %","993639000000","992374452913","99,87 %","128480685750","69020343168","53,72 %","8163449000","7261152768","88,95 %","284123888477","287663934061","101,25 %","2233894638000","2138791255642","95,74 %","362514892000","304524139605","84,00 %","1316030802000","1325136134000","100,69 %","555348944000","509130982037","91,68 %","998663693522","1183821331506","118,54 %","239298800000","267086859985","111,61 %","0","0","-","359618017522","440764037891","122,56 %","399746876000","396177256880","99,11 %","0","79793176750","-","0","0","-","0","0","-","4833276336126","4672945968655","96,68 %","2481778276571","2297818680603","92,59 %","1665087103726","1517502238110","91,14 %","0","0","-","0","0","-","66792500000","67210609468","100,63 %","48511200000","38713000000","79,80 %","164251411575","156760737000","95,44 %","529296912770","517632096025","97,80 %","7839148500","0","0,00 %","0","0","-","2351498059555","2375127288052","101,00 %","205824413429","193034158768","93,79 %","1475159833457","1478890125643","100,25 %","670513812669","703203003641","104,88 %","186310981377","156894470517","84,21 %","186310981377","168894470517","90,65 %","186310981377","168894470517","90,65 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","12000000000","-","0","0","-","0","12000000000","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-"
"188","2019","12","10","Kab. Purwakarta","Realisasi APBD 2019 (per 21 Oktober 2020)","False","2187742367009","2169865594847","99,18 %","464858007826","420353733502","90,43 %","270102995000","244826953244","90,64 %","29175230560","21438760660","73,48 %","5998000000","5349792210","89,19 %","159581782266","148738227388","93,21 %","1283185821000","1254756529989","97,78 %","110694089000","99635172668","90,01 %","891475462000","889747462000","99,81 %","281016270000","265373895321","94,43 %","439698538183","494755331356","112,52 %","0","116030301446","-","0","0","-","161235783183","174278767841","108,09 %","278462755000","167398755000","60,12 %","0","37047507069","-","0","0","-","0","0","-","2243742367009","2280992249903","101,66 %","1332319944790","1312741556274","98,53 %","978770494982","946283109940","96,68 %","0","0","-","0","0","-","30581650000","47457805150","155,18 %","5000000000","1998002922","39,96 %","48663409941","48663409140","100,00 %","268804389867","268159229122","99,76 %","500000000","180000000","36,00 %","0","0","-","911422422219","968250693629","106,24 %","46346687650","62968890784","135,86 %","514238611095","575993092744","112,01 %","350837123474","329288710101","93,86 %","56000000000","149837019428","267,57 %","67000000000","155198141688","231,64 %","67000000000","155198141688","231,64 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","11000000000","5361122260","48,74 %","0","0","-","10000000000","5050000000","50,50 %","1000000000","311122260","31,11 %","0","0","-","0","0","-","0","0","-","0","0","-"
"189","2019","13","10","Kab. Subang","Realisasi APBD 2019 (per 21 Oktober 2020)","False","2531579099074","3045413428703","120,30 %","473715727847","463310453324","97,80 %","243581000000","221024305129","90,74 %","22866018300","19313108867","84,46 %","21360000000","26576316310","124,42 %","185908709547","196396723018","105,64 %","1517531681000","1919000618489","126,46 %","196858442000","164369266273","83,50 %","1320673239000","1323634343000","100,22 %","0","430997009216","-","540331690227","663102356890","122,72 %","161424600000","172069353070","106,59 %","0","0","-","170111340227","201304977199","118,34 %","0","208795660000","-","0","80932366621","-","208795750000","0","0,00 %","0","0","-","2635879099074","3053697757859","115,85 %","1659920174279","1870209654953","112,67 %","1144809196017","1299862733206","113,54 %","0","280012277","-","0","0","-","47321513632","81826919132","172,92 %","3525000000","4193800000","118,97 %","14183371130","10405900000","73,37 %","447081093500","471399726101","105,44 %","3000000000","2240564237","74,69 %","0","0","-","975958924795","1183488102906","121,26 %","100851715000","127155345897","126,08 %","546082001803","597493924478","109,41 %","329025207992","458838832531","139,45 %","104300000000","18491753073","17,73 %","113000000000","50088158838","44,33 %","113000000000","27191753073","24,06 %","0","0","-","0","0","-","0","22896405765","-","0","0","-","0","0","-","0","0","-","0","0","-","8700000000","31596405765","363,18 %","0","0","-","8700000000","8700000000","100,00 %","0","22896405765","-","0","0","-","0","0","-","0","0","-","0","0","-"
"190","2019","01","10","Kab. Bandung","Realisasi APBD 2019 (per 21 Oktober 2020)","False","4418513563748","5730185099103","129,69 %","849284377092","1025354252358","120,73 %","398176000000","525068992918","131,87 %","24039930228","25837878597","107,48 %","66781835563","70065467253","104,92 %","360286611301","404381913590","112,24 %","2427553562000","3374888933422","139,02 %","275885765000","514616566707","186,53 %","2151667797000","2149817107000","99,91 %","0","710455259715","-","1141675624656","1329941913323","116,49 %","345285600000","396791167902","114,92 %","0","0","-","453747726656","461292696640","101,66 %","11571605000","322642298000","2.788,22 %","0","149215750781","-","331070693000","0","0,00 %","0","0","-","5107277141876","5782093594531","113,21 %","2709779043927","3095430061501","114,23 %","1967922592444","2322851727943","118,04 %","0","0","-","0","0","-","86414875000","130680177258","151,22 %","1005500000","3815900000","379,50 %","43925293023","43925247000","100,00 %","588087904700","585146014000","99,50 %","22422878760","9010995300","40,19 %","0","0","-","2397498097949","2686663533030","112,06 %","121713552669","92576423596","76,06 %","1465687612129","1505837343954","102,74 %","810096933151","1088249765480","134,34 %","688763578128","688831693976","100,01 %","698763578128","709644093976","101,56 %","698763578128","709425571231","101,53 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-","0","218522745","-","0","0","-","10000000000","20812400000","208,12 %","0","0","-","10000000000","20812400000","208,12 %","0","0","-","0","0","-","0","0","-","0","0","-","0","0","-"
"191","2019","15","10","Kab. Sumedang","Realisasi APBD 2019 (per 21 Oktober 2020)","False","2734776285322","3069549278172","112,24 %","530215807457","463528449322","87,42 %","230250400000","205521153763","89,26 %","12427169157","10263528592","82,59 %","9977870000","9727083922","97,49 %","277560368300","238016683045","85,75 %","1801479081220","1742184434785","96,71 %","126398316220","86594143619","68,51 %","1173848992000","1180828452000","100,59 %","501231773000","474761839166","94,72 %","403081396645","863836394065","214,31 %","4500000000","128579320000","2.857,32 %","0","0","-","130418436645","136437021093","104,61 %","0","268162958600","-","49222417000","330657094372","671,76 %","218940543000","0","0,00 %","0","0","-","2686275298003","3022621821158","112,52 %","1734794831997","1656888704313","95,51 %","1338422488394","1234484280762","92,23 %","0","0","-","0","0","-","12974000000","35591700000","274,33 %","3000000000","3367912900","112,26 %","23338654000","23338654000","100,00 %","355359689603","360093456751","101,33 %","1700000000","12699900","0,75 %","0","0","-","951480466006","1365733116845","143,54 %","55649114712","3175881000","5,71 %","559369724756","756858884833","135,31 %","336461626538","605698351012","180,02 %","-48500987319","66003386929","-136,09 %","5855752000","231610506673","3.955,26 %","5855752000","107166975873","1.830,11 %","0","0","-","0","0","-","0","124443530800","-","0","0","-","0","0","-","0","0","-","0","0","-","54356739319","165607119744","304,67 %","0","0","-","10215924439","6918552264","67,72 %","44140814880","158688567480","359,51 %","0","0","-","0","0","-","0","0","-","0","0","-"
